LGA_Code,LGA_Name,Total_Median,Unit_Total_Median,House_Total_Median,Total_Count,Unit_Total_Count,House_Total_Count,Sample_Quality,Median_Weekly_Household_Income_2021,Rent_to_Income_Proxy,Rent_to_Income_Proxy_Pct,Unit_Rent_to_Income_Proxy,Unit_Rent_to_Income_Proxy_Pct,House_Rent_to_Income_Proxy,House_Rent_to_Income_Proxy_Pct,House_Unit_Rent_Gap,House_Unit_Rent_Premium_Pct,Population_2024,Population_2025,Population_Change,Population_Growth_Pct,Natural_Increase_2024_25,Net_Internal_Migration_2024_25,Net_Overseas_Migration_2024_25,Net_Migration_2024_25,Area_km2,Population_Density_2025,House_Approvals_2024_25,Other_Residential_Approvals_2024_25,Residual_Approval_Units_2024_25,Approvals_2024_25,Approvals_2025_26_FYTD,House_Approvals_per_1000,Other_Residential_Approvals_per_1000,Approvals_per_1000,Other_Residential_Approval_Share_Pct,Approvals_per_100_New_Residents,Affordability_Pressure_Score,Demand_Pressure_Score,Supply_Gap_Score,Weighted_Component_Score,Housing_Pressure_Index,Housing_Pressure_Category,Eligible_for_Score,Complete_Score
42250,Grant,555.0,287.5,560.0,30.0,,30.0,Stronger (20+ bonds),1747,0.3177,31.8,,,0.3205,32.0,,,9166.0,9223.0,57.0,0.6,14.0,21.0,22.0,43.0,1897.8,4.9,52.0,2.0,2.0,56.0,30.0,5.64,0.22,6.07,3.6,98.2,35.8,44.3,50.9,41.7,30.2,Low,True,True
47980,Unley,585.0,520.0,722.5,325.0,180.0,130.0,Stronger (20+ bonds),1999,0.2926,29.3,0.2601,26.0,0.3614,36.1,202.5,38.9,40436.0,40731.0,295.0,0.7,-196.0,-270.0,761.0,491.0,14.3,2854.2,52.0,102.0,10.0,164.0,286.0,1.28,2.5,4.03,62.2,55.6,22.6,50.9,67.9,41.0,28.3,Low,True,True
40520,Berri Barmera,350.0,270.0,380.0,55.0,15.0,40.0,Stronger (20+ bonds),1169,0.2994,29.9,0.231,23.1,0.3251,32.5,110.0,40.7,10773.0,10758.0,-15.0,-0.1,-24.0,-35.0,44.0,9.0,476.2,22.6,18.0,0.0,0.0,18.0,21.0,1.67,0.0,1.67,0.0,,24.5,13.2,88.7,37.7,25.5,Low,True,True
43710,Lower Eyre Peninsula,470.0,,470.0,10.0,,10.0,Moderate (10–19 bonds),1557,0.3019,30.2,,,0.3019,30.2,,,6226.0,6268.0,42.0,0.7,6.0,24.0,12.0,36.0,4721.4,1.3,39.0,3.0,1.0,43.0,28.0,6.22,0.48,6.86,7.0,102.4,28.3,50.9,43.4,37.7,25.5,Low,True,True
43790,Loxton Waikerie,380.0,300.0,400.0,40.0,10.0,30.0,Stronger (20+ bonds),1169,0.3251,32.5,0.2566,25.7,0.3422,34.2,100.0,33.3,11980.0,11971.0,-9.0,-0.1,-54.0,10.0,35.0,45.0,7763.9,1.5,52.0,0.0,5.0,57.0,45.0,4.34,0.0,4.76,0.0,,37.7,13.2,58.5,36.8,22.6,Low,True,True
46090,Port Augusta,350.0,295.0,360.0,140.0,40.0,100.0,Stronger (20+ bonds),1275,0.2745,27.4,0.2314,23.1,0.2824,28.2,65.0,22.0,14458.0,14469.0,11.0,0.1,54.0,-99.0,56.0,-43.0,1158.0,12.5,11.0,0.0,1.0,12.0,8.0,0.76,0.0,0.83,0.0,109.1,11.3,27.4,92.5,35.6,20.8,Low,True,True
48340,Wattle Range,330.0,320.0,345.0,30.0,,25.0,Stronger (20+ bonds),1180,0.2797,28.0,,,0.2924,29.2,,,12367.0,12378.0,11.0,0.1,-25.0,16.0,20.0,36.0,3926.2,3.2,28.0,0.0,1.0,29.0,31.0,2.26,0.0,2.34,0.0,263.6,13.2,27.4,83.0,34.2,18.9,Very Low,True,True
47630,Tatiara,385.0,200.6,395.0,25.0,,20.0,Stronger (20+ bonds),1470,0.2619,26.2,,,0.2687,26.9,,,7098.0,7088.0,-10.0,-0.1,10.0,-51.0,31.0,-20.0,6527.2,1.1,15.0,0.0,0.0,15.0,10.0,2.12,0.0,2.12,0.0,,9.4,13.2,86.8,29.7,17.0,Very Low,True,True
47910,Tumby Bay,330.0,300.0,450.0,10.0,,5.0,Moderate (10–19 bonds),1139,0.2897,29.0,,,,,,,2955.0,2963.0,8.0,0.3,-16.0,19.0,5.0,24.0,2669.1,1.1,18.0,0.0,1.0,19.0,12.0,6.07,0.0,6.41,0.0,237.5,17.0,36.8,47.2,29.5,15.1,Very Low,True,True
40700,Burnside,600.0,550.0,780.0,275.0,135.0,140.0,Stronger (20+ bonds),2069,0.29,29.0,0.2658,26.6,0.377,37.7,230.0,41.8,47928.0,48257.0,329.0,0.7,-41.0,-378.0,748.0,370.0,27.5,1753.6,105.0,308.0,0.0,413.0,127.0,2.18,6.38,8.56,74.6,125.5,18.9,50.9,28.3,29.2,13.2,Very Low,True,True
