Suburb,Unit_1BR_Count,Unit_1BR_Median,Unit_2BR_Count,Unit_2BR_Median,Unit_3BR_Count,Unit_3BR_Median,Unit_Total_Count,Unit_Total_Median,House_Total_Count,House_Total_Median,Total_Count,Total_Median
Kilburn,,430.0,20.0,485.0,,460.0,25.0,480.0,30.0,530.0,50.0,500.0
Kilkenny,,,,505.0,,600.0,,585.0,10.0,570.0,15.0,580.0
Kings Park,,,,515.0,,,,515.0,,682.5,,570.0
Kingston Park,,690.0,,522.5,,860.0,,620.0,,,,620.0
Kingswood,,495.0,,575.0,,,,575.0,10.0,750.0,15.0,667.5
Klemzig,,,15.0,475.0,,670.0,20.0,520.0,40.0,645.0,65.0,570.0
Kudla,,,,,,,,,,600.0,,600.0
Kurralta Park,,430.0,15.0,495.0,,710.0,20.0,480.0,25.0,650.0,45.0,550.0
Largs Bay,,,,520.0,,620.0,,540.0,15.0,592.5,20.0,550.0
Largs North,,,10.0,500.0,,,10.0,500.0,20.0,730.0,30.0,640.0
Leabrook,,,10.0,540.0,,,10.0,540.0,,,10.0,540.0
Lightsview,,490.0,5.0,587.5,,675.0,10.0,587.5,35.0,675.0,45.0,650.0
Linden Park,,460.0,5.0,550.0,,550.0,10.0,550.0,10.0,795.0,15.0,610.0
Lockleys,,430.0,5.0,505.0,,560.0,10.0,505.0,15.0,670.0,25.0,630.0
Longwood,,,,,,,,,,650.0,,650.0
Lower Mitcham,,375.0,,,,,,375.0,,690.0,,685.0
Macdonald Park,,,,,,,,,,680.0,,680.0
Magill,5.0,355.0,15.0,480.0,,700.0,20.0,450.0,50.0,680.0,75.0,660.0
Malvern,,,,525.0,,570.0,,530.0,,1250.0,10.0,780.0
Manningham,,400.0,,515.0,,,,510.0,10.0,627.5,15.0,600.0
Mansfield Park,,260.0,,307.5,,,,260.0,15.0,607.5,20.0,585.0
Marden,,387.5,15.0,530.0,5.0,560.0,25.0,530.0,15.0,700.0,40.0,577.5
Marino,,420.0,,480.0,,,,420.0,5.0,800.0,10.0,650.0
Marion,,194.71,,445.0,,720.0,10.0,630.0,20.0,620.0,30.0,630.0
Marleston,,,15.0,490.0,,,15.0,490.0,10.0,725.0,25.0,525.0
Marryatville,,,,,,,,,5.0,500.0,5.0,500.0
Maslin Beach,,,,580.0,,,,580.0,5.0,562.5,5.0,575.0
Mawson Lakes,,367.5,40.0,540.0,30.0,295.0,80.0,505.0,90.0,645.0,170.0,585.0
Maylands,,,,595.0,,,,595.0,,930.0,10.0,677.5
Mclaren Flat,,,,,,,,,,640.0,,640.0
Mclaren Vale,,,,,,,,,10.0,605.0,10.0,592.5
Medindie,,,,550.0,,650.0,,600.0,,1125.0,15.0,350.0
Medindie Gardens,,,,,,,,,,630.0,,630.0
Melrose Park,,380.0,,460.0,,567.5,10.0,480.0,15.0,630.0,25.0,600.0
Mile End,,395.0,10.0,460.0,,650.0,15.0,480.0,20.0,640.0,35.0,592.5
Millswood,,,,520.0,,,,520.0,,600.0,10.0,520.0
Mitcham,,,,572.5,,605.0,,572.5,10.0,820.0,15.0,807.5
Mitchell Park,,314.0,10.0,480.0,,274.0,10.0,430.0,45.0,620.0,60.0,580.0
Moana,,,,570.0,,,,570.0,10.0,677.5,15.0,670.0
Modbury,,,5.0,499.0,,572.5,10.0,499.0,50.0,650.0,60.0,630.0
Modbury Heights,,,,565.0,,,,565.0,35.0,627.5,40.0,622.5
Modbury North,,,,,,,,,30.0,600.0,30.0,600.0
Montacute,,450.0,,,,,,450.0,,,,450.0
Morphett Vale,,350.0,15.0,470.0,,525.0,20.0,470.0,135.0,580.0,155.0,570.0
Morphettville,,,,525.0,,570.0,,550.0,20.0,690.0,25.0,655.0
Mount Osmond,,,,,,,,,,750.0,,750.0
Munno Para,,275.82,,460.0,,,5.0,385.0,95.0,560.0,100.0,550.0
Munno Para Down,,,,,,,,,,580.0,,580.0
Munno Para Downs,,,,,,,,,140.0,580.0,145.0,575.0
Munno Para West,,,,650.0,,,,650.0,150.0,550.0,155.0,550.0
Mylor,,350.0,,,,,,350.0,,,,350.0
Myrtle Bank,,218.0,10.0,550.0,,,10.0,550.0,10.0,672.5,15.0,590.0
Nailsworth,,,,430.0,,630.0,5.0,462.5,10.0,630.0,15.0,550.0
Netherby,,415.0,,,,,,415.0,,1300.0,,857.5
Netley,,395.0,,,,,,430.0,10.0,750.0,15.0,685.0
New Port,5.0,480.0,,,,680.0,10.0,480.0,10.0,700.0,15.0,600.0
