Suburb,Unit_Total_Median,House_Total_Median,Total_Median,Total_Count,Rent_Pressure_Category
Blair Athol,462.5,640.0,630.0,55.0,Medium
Woodville,620.0,680.0,630.0,10.0,Medium
Onkaparinga Heights,,630.0,630.0,5.0,Medium
Seacliff Park,485.0,630.0,630.0,10.0,Medium
South Brighton,550.0,725.0,630.0,25.0,Medium
Royston Park,605.0,807.5,630.0,15.0,Medium
Seacombe Heights,330.0,650.0,625.0,5.0,Medium
Angle Vale,,625.0,625.0,60.0,Medium
O Halloran Hill,,625.0,625.0,10.0,Medium
Park Holme,445.0,660.0,625.0,25.0,Medium
Cumberland Park,525.0,665.0,625.0,15.0,Medium
Unley,560.0,735.0,622.5,45.0,Medium
Modbury Heights,565.0,627.5,622.5,40.0,Medium
Walkerville,590.0,1050.0,622.5,25.0,Medium
Wingfield,,622.5,622.5,,Medium
Kensington,540.0,705.0,620.0,20.0,Medium
Torrensville,512.5,700.0,620.0,25.0,Medium
North Shields,,620.0,620.0,,Medium
Surrey Downs,520.0,620.0,620.0,15.0,Medium
Kingston Park,620.0,,620.0,,Medium
Reynella East,,620.0,620.0,,Medium
Parkside,530.0,737.5,620.0,60.0,Medium
Glandore,510.0,770.0,620.0,20.0,Medium
Old Reynella,467.5,630.0,620.0,20.0,Medium
Urrbrae,630.0,600.0,615.0,,Medium
Fulham,550.0,680.0,615.0,20.0,Medium
Clarence Gardens,550.0,640.0,615.0,15.0,Medium
Glenside,555.0,800.0,615.0,35.0,Medium
Gulfview Heights,,615.0,615.0,10.0,Medium
Findon,580.0,650.0,612.5,90.0,Medium
Seaford,515.0,610.0,610.0,25.0,Medium
Seacombe Gardens,312.5,650.0,610.0,20.0,Medium
Para Vista,,610.0,610.0,20.0,Medium
Linden Park,550.0,795.0,610.0,15.0,Medium
Northfield,495.0,620.0,610.0,45.0,Medium
Suttontown,,610.0,610.0,5.0,Medium
St Morris,500.0,860.0,610.0,10.0,Medium
Enfield,465.0,650.0,610.0,50.0,Medium
Gilles Plains,375.0,650.0,607.5,45.0,Medium
Clapham,512.5,692.5,607.5,5.0,Medium
Beulah Park,480.0,610.0,605.0,15.0,Medium
Dernancourt,,605.0,605.0,20.0,Medium
Old Noarlunga,,602.5,602.5,5.0,Medium
Sellicks Beach,,600.0,600.0,10.0,Medium
Glenelg,585.0,692.5,600.0,65.0,Medium
Oaklands Park,480.0,640.0,600.0,50.0,Medium
West Lakes Shore,550.0,700.0,600.0,10.0,Medium
Toorak Gardens,520.0,795.0,600.0,10.0,Medium
Welland,420.0,615.0,600.0,,Medium
Gepps Cross,,600.0,600.0,5.0,Medium
Woodville West,492.5,640.0,600.0,45.0,Medium
Korunye,,600.0,600.0,,Medium
New Port,480.0,700.0,600.0,15.0,Medium
Somerton Park,522.5,750.0,600.0,35.0,Medium
Montarra,,600.0,600.0,,Medium
Norwood,540.0,720.0,600.0,100.0,Medium
Para Hills,372.5,600.0,600.0,45.0,Medium
Hindmarsh Island,,600.0,600.0,,Medium
Burton,,600.0,600.0,25.0,Medium
Evanston Park,,600.0,600.0,25.0,Medium
Bethany,,600.0,600.0,,Medium
Kudla,,600.0,600.0,,Medium
Ferryden Park,450.0,620.0,600.0,30.0,Medium
Reynella,480.0,600.0,600.0,20.0,Medium
Redwood Park,,600.0,600.0,15.0,Medium
Port Noarlunga,435.0,630.0,600.0,20.0,Medium
Hectorville,550.0,670.0,600.0,50.0,Medium
Flinders Park,455.0,610.0,600.0,40.0,Medium
Woodcroft,450.0,600.0,600.0,30.0,Medium
Plympton Park,490.0,680.0,600.0,40.0,Medium
Ethelton,405.0,600.0,600.0,10.0,Medium
Parafield Gardens,475.0,600.0,600.0,105.0,Medium
Gawler South,420.0,600.0,600.0,10.0,Medium
South Plympton,445.0,700.0,600.0,35.0,Medium
Woodville South,550.0,680.0,600.0,25.0,Medium
Trinity Gardens,560.0,650.0,600.0,10.0,Medium
Melrose Park,480.0,630.0,600.0,25.0,Medium
Modbury North,,600.0,600.0,30.0,Medium
Albert Park,480.0,610.0,600.0,15.0,Medium
Windsor,,600.0,600.0,,Medium
Ingle Farm,321.6,600.0,600.0,70.0,Medium
Manningham,510.0,627.5,600.0,15.0,Medium
Crafers,,600.0,600.0,,Medium
Holden Hill,500.0,610.0,600.0,35.0,Medium
Valley View,440.0,615.0,600.0,45.0,Medium
Vale Park,450.0,667.5,597.5,10.0,Medium
Totness,,595.0,595.0,,Medium
Echunga,,595.0,595.0,,Medium
Nairne,485.0,600.0,595.0,25.0,Medium
Edwardstown,450.0,650.0,595.0,35.0,Medium
Virginia,,595.0,595.0,25.0,Medium
Lower Light,,595.0,595.0,,Medium
Mount Barker,517.5,600.0,595.0,235.0,Medium
Mclaren Vale,,605.0,592.5,10.0,Medium
Mile End,480.0,640.0,592.5,35.0,Medium
Torrens Park,450.0,870.0,592.5,10.0,Medium
Osborne,435.0,600.0,590.0,15.0,Medium
Burnside,530.0,750.0,590.0,15.0,Medium
Yatala Vale,,590.0,590.0,,Medium
Seaford Meadows,495.0,590.0,590.0,25.0,Medium
Templers,,590.0,590.0,,Medium
Fullarton,550.0,875.0,590.0,35.0,Medium
Myrtle Bank,550.0,672.5,590.0,15.0,Medium
Forreston,,590.0,590.0,,Medium
Kensington Park,560.0,755.0,590.0,15.0,Medium
Norton Summit,,590.0,590.0,,Medium
Port Willunga,450.0,592.5,590.0,15.0,Medium
St Clair,550.0,600.0,590.0,45.0,Medium
Hayborough,520.0,590.0,590.0,25.0,Medium
Hawthorn,500.0,750.0,587.5,10.0,Medium
Mansfield Park,260.0,607.5,585.0,20.0,Medium
Richmond,430.0,680.0,585.0,30.0,Medium
Mawson Lakes,505.0,645.0,585.0,170.0,Medium
Clovelly Park,550.0,610.0,585.0,30.0,Medium
Normanville,420.0,590.0,580.0,10.0,Medium
Kilkenny,585.0,570.0,580.0,15.0,Medium
Salisbury Park,,580.0,580.0,10.0,Medium
Kent Town,580.0,1250.0,580.0,15.0,Medium
Crystal Brook,,580.0,580.0,,Medium
Lobethal,,580.0,580.0,,Medium
Banksia Park,,580.0,580.0,5.0,Medium
Gawler East,480.0,580.0,580.0,35.0,Medium
Ridgehaven,505.0,610.0,580.0,40.0,Medium
Hyde Park,535.0,1300.0,580.0,15.0,Medium
Munno Para Down,,580.0,580.0,,Medium
Gumeracha,211.0,590.0,580.0,,Medium
Metro Total,500.0,600.0,580.0,10695.0,Medium
Hillbank,,580.0,580.0,10.0,Medium
Mitchell Park,430.0,620.0,580.0,60.0,Medium
Worrolong,,580.0,580.0,,Medium
Royal Park,480.0,640.0,580.0,30.0,Medium
Christies Beach,485.0,592.5,580.0,80.0,Medium
Semaphore Park,550.0,600.0,580.0,25.0,Medium
Wayville,550.0,845.0,580.0,15.0,Medium
Prospect,490.0,650.0,580.0,170.0,Medium
North Plympton,510.0,630.0,577.5,20.0,Medium
Aldinga Beach,485.0,600.0,577.5,80.0,Medium
Seaford Rise,,577.5,577.5,15.0,Medium
Marden,530.0,700.0,577.5,40.0,Medium
Munno Para Downs,,580.0,575.0,145.0,Medium
Renown Park,470.0,645.0,575.0,20.0,Medium
Willaston,485.0,600.0,575.0,15.0,Medium
Direk,,575.0,575.0,5.0,Medium
Croydon,425.0,710.0,575.0,,Medium
Maslin Beach,580.0,562.5,575.0,5.0,Medium
Forestville,550.0,600.0,572.5,15.0,Medium
St Agnes,550.0,610.0,572.5,20.0,Medium
Glenelg North,507.5,680.0,572.5,55.0,Medium
Greenwith,164.8,575.0,572.5,20.0,Medium
Evandale,450.0,625.0,570.0,10.0,Medium
Cheltenham,460.0,595.0,570.0,10.0,Medium
Klemzig,520.0,645.0,570.0,65.0,Medium
Athol Park,505.0,582.2,570.0,15.0,Medium
Woodside,,570.0,570.0,10.0,Medium
Kings Park,515.0,682.5,570.0,,Medium
Pooraka,472.5,597.5,570.0,50.0,Medium
Point Boston,,570.0,570.0,,Medium
Morphett Vale,470.0,580.0,570.0,155.0,Medium
Clearview,510.0,595.0,567.5,35.0,Medium
Camden Park,455.0,680.0,565.0,35.0,Medium
Noarlunga Downs,490.0,580.0,565.0,15.0,Medium
Paralowie,324.5,572.5,565.0,105.0,Medium
Salisbury East,440.0,577.5,565.0,70.0,Medium
Salisbury Plain,,565.0,565.0,10.0,Medium
Wynn Vale,540.0,580.0,565.0,20.0,Medium
Moculta,,562.5,562.5,,Medium
Blakeview,475.0,560.0,560.0,75.0,Medium
Dry Creek,,560.0,560.0,,Medium
Noarlunga Centre,465.0,590.0,560.0,,Medium
Salisbury Downs,300.0,575.0,560.0,55.0,Medium
Paradise,520.0,570.0,560.0,60.0,Medium
Eight Mile Creek,,560.0,560.0,,Medium
Firle,550.0,580.0,560.0,15.0,Medium
Brahma Lodge,560.0,560.0,560.0,25.0,Medium
Freeling,,560.0,560.0,,Medium
Kanmantoo,,560.0,560.0,,Medium
Encounter Bay,482.5,577.5,557.5,35.0,Medium
Glanville,464.0,640.0,557.5,10.0,Medium
Coffin Bay,,555.0,555.0,,Medium
Ascot Park,500.0,620.0,555.0,40.0,Medium
Craigmore,,560.0,555.0,55.0,Medium
Glenunga,560.0,500.0,555.0,20.0,Medium
Glenelg South,565.0,550.0,555.0,25.0,Medium
Nuriootpa,450.0,555.0,550.0,40.0,Medium
Mount Pleasant,,550.0,550.0,,Medium
Ob Flat,,550.0,550.0,,Medium
Dawesley,,550.0,550.0,,Medium
Port Broughton,275.0,580.0,550.0,10.0,Medium
Windsor Gardens,495.0,630.0,550.0,50.0,Medium
Lyndoch,,550.0,550.0,10.0,Medium
Tusmore,535.0,670.0,550.0,10.0,Medium
Andrews Farm,337.5,560.0,550.0,105.0,Medium
Tanunda,450.0,550.0,550.0,30.0,Medium
Compton,,550.0,550.0,,Medium
Jerusalem,,550.0,550.0,,Medium
West Hindmarsh,450.0,630.0,550.0,10.0,Medium
Grand Total,495.0,590.0,550.0,13210.0,Medium
Devon Park,490.0,620.0,550.0,20.0,Medium
Plympton,470.0,650.0,550.0,75.0,Medium
Erindale,550.0,,550.0,,Medium
Huntfield Heights,460.0,550.0,550.0,15.0,Medium
Glenelg East,527.5,635.0,550.0,35.0,Medium
Largs Bay,540.0,592.5,550.0,20.0,Medium
Oakden,282.91,625.0,550.0,20.0,Medium
Hackham,360.0,555.0,550.0,15.0,Medium
Kurralta Park,480.0,650.0,550.0,45.0,Medium
Pennington,,550.0,550.0,25.0,Medium
Seaview Downs,,570.0,550.0,15.0,Medium
Kensington Gardens,550.0,600.0,550.0,25.0,Medium
Munno Para,385.0,560.0,550.0,100.0,Medium
Munno Para West,650.0,550.0,550.0,155.0,Medium
Tea Tree Gully,505.0,635.0,550.0,20.0,Medium
Eyre,510.0,550.0,550.0,25.0,Medium
Taperoo,203.2,550.0,550.0,25.0,Medium
Nailsworth,462.5,630.0,550.0,15.0,Medium
Macclesfield,545.0,,545.0,,Low
Hillier,,545.0,545.0,,Low
Collinswood,540.0,550.0,545.0,10.0,Low
Leabrook,540.0,,540.0,10.0,Low
Sefton Park,460.0,600.0,540.0,5.0,Low
Evanston Gardens,560.0,540.0,540.0,50.0,Low
Hope Valley,470.0,597.5,540.0,25.0,Low
Thebarton,430.0,575.0,537.5,15.0,Low
West Croydon,475.0,550.0,535.0,30.0,Low
Daw Park,510.0,760.0,535.0,15.0,Low
Underdale,507.5,647.5,535.0,20.0,Low
Cudlee Creek,,530.0,530.0,,Low
Joslin,440.0,925.0,530.0,,Low
Kapunda,164.9,550.0,530.0,10.0,Low
Ottoway,455.0,600.0,530.0,15.0,Low
Para Hills West,440.0,630.0,530.0,25.0,Low
Peterhead,432.5,550.0,530.0,5.0,Low
Globe Derby Park,,530.0,530.0,,Low
Salisbury North,445.0,535.0,527.5,80.0,Low
Hackham West,400.0,545.0,527.5,30.0,Low
Marleston,490.0,725.0,525.0,25.0,Low
Strathalbyn,450.0,530.0,525.0,30.0,Low
Mount Benson,,525.0,525.0,,Low
Keswick,470.0,630.0,525.0,10.0,Low
Payneham,490.0,595.0,525.0,35.0,Low
Woodville North,517.5,525.0,522.5,30.0,Low
O Sullivan Beach,450.0,545.0,522.5,15.0,Low
Angle Park,,520.7,520.7,,Low
Smithfield Plains,237.9,520.0,520.0,55.0,Low
Middleton,462.5,520.0,520.0,10.0,Low
Murray Bridge East,,520.0,520.0,,Low
Alberton,440.0,520.0,520.0,10.0,Low
Goolwa North,,520.0,520.0,10.0,Low
Hindmarsh,767.5,545.0,520.0,5.0,Low
Millswood,520.0,600.0,520.0,10.0,Low
Smithfield,171.155,540.0,520.0,40.0,Low
Coromandel Valley,520.0,585.0,520.0,,Low
Hawthorndene,365.0,650.0,515.0,,Low
Adelaide,539.0,650.0,514.5,1050.0,Low
Semaphore,450.0,625.0,510.0,25.0,Low
Kalbeeba,,510.0,510.0,,Low
Yahl,,510.0,510.0,,Low
Goolwa South,435.0,520.0,510.0,10.0,Low
Mount Barker Springs,,510.0,510.0,,Low
Black Forest,475.0,670.0,510.0,15.0,Low
St Peters,500.0,727.5,510.0,25.0,Low
Rosewater,430.0,547.5,505.0,20.0,Low
Elizabeth Park,283.89,510.0,505.0,50.0,Low
West Beach,480.0,695.0,502.5,30.0,Low
Birdwood,392.5,975.0,502.5,,Low
Ovingham,447.5,540.0,500.0,10.0,Low
Penneshaw,,500.0,500.0,,Low
Broadview,475.0,615.0,500.0,35.0,Low
Birkenhead,540.0,487.5,500.0,10.0,Low
Marryatville,,500.0,500.0,5.0,Low
Port Vincent,,500.0,500.0,,Low
Lewiston,,500.0,500.0,,Low
Northern Heights,,500.0,500.0,,Low
Goolwa Beach,,500.0,500.0,15.0,Low
Goodwood,497.5,655.0,500.0,30.0,Low
Port Hughes,,500.0,500.0,,Low
Queenstown,415.0,650.0,500.0,15.0,Low
Watervale,,500.0,500.0,,Low
Willunga,465.0,525.0,500.0,5.0,Low
Elizabeth Vale,435.0,500.0,500.0,50.0,Low
Salisbury,430.0,550.0,500.0,100.0,Low
Evanston,280.0,520.0,500.0,45.0,Low
St Marys,450.0,650.0,500.0,30.0,Low
Kilburn,480.0,530.0,500.0,50.0,Low
Clarence Park,490.0,672.5,500.0,25.0,Low
Tooperang,,500.0,500.0,,Low
Port Elliot,330.2,512.5,497.5,15.0,Low
Christie Downs,332.75,525.0,495.0,40.0,Low
Kyeema,,495.0,495.0,,Low
Gawler West,492.5,535.0,492.5,,Low
Boston,,490.0,490.0,,Low
Elizabeth East,,500.0,490.0,55.0,Low
Croydon Park,490.0,580.0,490.0,50.0,Low
Hendon,400.0,640.0,490.0,5.0,Low
Hahndorf,490.0,575.0,490.0,,Low
Woodville Park,360.0,575.0,490.0,10.0,Low
Elizabeth Downs,480.0,500.0,490.0,85.0,Low
Woodville Gardens,364.45,497.5,483.7,20.0,Low
Finniss,,480.0,480.0,,Low
Brooklyn Park,460.0,615.0,480.0,50.0,Low
Elizabeth Grove,300.0,490.0,480.0,35.0,Low
Biggs Flat,,480.0,480.0,,Low
Victor Harbor,450.0,490.0,480.0,25.0,Low
Dulwich,445.0,925.0,475.0,15.0,Low
Elizabeth,395.0,550.0,475.0,10.0,Low
Penwortham,,475.0,475.0,,Low
Stansbury,,475.0,475.0,,Low
Rowland Flat,,650.0,475.0,,Low
Davoren Park,230.8,475.0,470.0,110.0,Low
Parham,,470.0,470.0,,Low
Chiton,,470.0,470.0,,Low
New Town,,460.0,460.0,,Low
Paris Creek,,460.0,460.0,,Low
Semaphore South,455.0,570.0,460.0,10.0,Low
Myponga,,453.75,453.75,,Low
Wanilla,,450.0,450.0,,Low
Milang,,450.0,450.0,,Low
Pekina,,450.0,450.0,,Low
Scott Creek,,450.0,450.0,,Low
Clare,355.0,450.0,450.0,20.0,Low
Clayton Bay,,450.0,450.0,,Low
Penrice,,450.0,450.0,,Low
Elizabeth North,450.0,450.0,450.0,60.0,Low
Thevenard,,450.0,450.0,,Low
Murray Bridge,310.0,460.0,450.0,230.0,Low
Montacute,450.0,,450.0,,Low
Cummins,,450.0,450.0,,Low
Truro,,450.0,450.0,,Low
Lenswood,,450.0,450.0,,Low
Port Lincoln,400.0,480.0,450.0,125.0,Low
